Category,Mug,Bowl,Vase,Misc,,,Line,Japanese,Nature,Bow,Cloud,Lover,Modern
# of,9,5,6,5,,,# of,4,5,4,2,1,6
,,,,,,,,,,,,,
,,,,,,,,,,,,,



Images Made?,ID,Category,Name,Raw Cost,Real Cost,Price,Profit,Margin,Fast Shipping?,Link,,,
Cloud Line,1,Mug,Blue Cloud Mug & Plate,16.66,18.326,34.99,16.664,47.63%,Yes,https://www.temu.com/ceramic-cloud-coffee-cup-adorable-design-for--brew-stylish-drinkware-unique-cloud-shape-ideal-for-coffee-enthusiasts-tumblers-mug-g-603275483005214.html?_oak_mp_inf=EJ6C96bQlYkBGhV1MzYzeTN1ZTYyOXJnMmZkY2JnYWUg%2FYqG0rIz&top_gallery_url=https%3A%2F%2Fimg.kwcdn.com%2Flocal-goods-image%2F20ef5f3eb8%2Ffb90bc87-2033-45bf-a759-304f7eddc712_800x800.jpeg.format.jpg&spec_gallery_id=209383827901&refer_page_sn=10032&refer_source=0&freesia_scene=700&_oak_freesia_scene=700&_oak_rec_ext_1=OTAy&_oak_gallery_order=1499260058%2C189133430%2C2016157214%2C2086490538%2C1634247743&refer_page_el_sn=233141&refer_page_name=goods&refer_page_id=10032_1765945481802_trrijil02e&_x_sessn_id=bpl9nyuars&is_back=1,,,
Cloud Line,2,Mug,Red Cloud Mug & Plate,16.66,18.326,34.99,16.664,47.63%,Yes,https://www.temu.com/ceramic-cloud-coffee-cup-adorable-design-for--brew-stylish-drinkware-unique-cloud-shape-ideal-for-coffee-enthusiasts-tumblers-mug-g-603275483005214.html?_oak_mp_inf=EJ6C96bQlYkBGhV1MzYzeTN1ZTYyOXJnMmZkY2JnYWUg%2FYqG0rIz&top_gallery_url=https%3A%2F%2Fimg.kwcdn.com%2Flocal-goods-image%2F20ef5f3eb8%2Ffb90bc87-2033-45bf-a759-304f7eddc712_800x800.jpeg.format.jpg&spec_gallery_id=209383827901&refer_page_sn=10032&refer_source=0&freesia_scene=700&_oak_freesia_scene=700&_oak_rec_ext_1=OTAy&_oak_gallery_order=1499260058%2C189133430%2C2016157214%2C2086490538%2C1634247743&refer_page_el_sn=233141&refer_page_name=goods&refer_page_id=10032_1765945481802_trrijil02e&_x_sessn_id=bpl9nyuars&is_back=1,,,
Nature Line,3,Mug,Yellow Tulip Mug & Plate,17.94,19.734,34.99,15.256,43.60%,Yes,https://www.temu.com/vintage-floral-ceramic-coffee-mug-and-saucer-set-hand-painted-yellow-tulip-design-reusable-dishwasher-safe-ideal-for-breakfast-oatmeal-milk-and-latte--christmas-halloween-easter-hanukkah-thanksgiving-coffee-bar-accessories-g-601102861060703.html?_oak_name_id=7471746548442690652&_oak_mp_inf=EN%2BUh9Sy1ogBGhZnb29kc191YTA4dXpfcmVjb21tZW5kIPj0ttSyMw%3D%3D&top_gallery_url=https%3A%2F%2Fimg.kwcdn.com%2Fproduct%2Ffancy%2F3c0459d6-a472-4d93-bd9b-bf1965e28bec.jpg&spec_gallery_id=208109664299&refer_page_sn=10032&refer_source=10016&freesia_scene=11&_oak_freesia_scene=11&_oak_rec_ext_1=MTk5NQ&_oak_gallery_order=1600547735%2C225278865%2C494040667%2C539158580%2C420969685&refer_page_el_sn=200444&_x_sessn_id=bpl9nyuars&refer_page_name=goods&refer_page_id=10032_1765945489547_roo2ghs6dg&is_back=1&no_cache_id=hygu0,,,
Bow Line,4,Mug,Big Bow Mug w/ Box,18.29,20.119,39.99,19.871,49.69%,Yes,https://www.aliexpress.us/item/3256809342869936.html?spm=a2g0o.productlist.main.7.30177lLt7lLtx6&algo_pvid=225ba6ee-7137-4a26-8f6b-e3f7358e84a7&algo_exp_id=225ba6ee-7137-4a26-8f6b-e3f7358e84a7-6&pdp_ext_f=%7B%22order%22%3A%22-1%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%2171.13%2116.36%21%21%21498.08%21114.53%21%402101e8f317658581392798944e6813%2112000049376727768%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A9e3ca818%3Bm03_new_user%3A-29895%3BpisId%3A5000000187461913&curPageLogUid=YS9jxQcpZTK7&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005009529184688%7C_p_origin_prod%3A,,,
Bow Line,5,Mug,Little Bow Mug,15.78,17.358,34.99,17.632,50.39%,Yes,https://www.aliexpress.us/item/3256809342869936.html?spm=a2g0o.productlist.main.7.30177lLt7lLtx6&algo_pvid=225ba6ee-7137-4a26-8f6b-e3f7358e84a7&algo_exp_id=225ba6ee-7137-4a26-8f6b-e3f7358e84a7-6&pdp_ext_f=%7B%22order%22%3A%22-1%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%2171.13%2116.36%21%21%21498.08%21114.53%21%402101e8f317658581392798944e6813%2112000049376727768%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A9e3ca818%3Bm03_new_user%3A-29895%3BpisId%3A5000000187461913&curPageLogUid=YS9jxQcpZTK7&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005009529184688%7C_p_origin_prod%3A,,,
Japanese Line,6,Misc,Flower / Lotus / Willow / Etc.,5.14,5.654,14.99,9.336,62.28%,Yes,https://www.temu.com/vintage-ceramic-toothpick-holder-decorative-kitchen-storage-jar-with-floral-and--rustic-cream-base-for-home-or-restaurant-use-kitchen-accessory-traditional-aesthetic-glossy-ceramic--g-601099652569376.html?top_gallery_url=https%3A%2F%2Fimg.kwcdn.com%2Fproduct%2Ffancy%2F78a1f303-c8a9-4f43-9cfe-fd5b589de313.jpg&spec_gallery_id=2390452576&share_token=LIyX27jcul60e8LkMQdDqR4a-LO06xWSSasftOYMqYGonu86O7SjcXcYbrgB4cep7W2C84XkgZCKsyNQiBwP8_JP80LGA103W2AlFH2-shx-EFcStusIX0oD1RM9SEx_vA_bAH393b9Dz3FhlLaY3P-IiEo9x3A4ZlZeRyZNa9P&refer_page_el_sn=209279&refer_page_name=kuiper&refer_page_id=14021_1765768497180_8y7ly2r4to&refer_page_sn=14021&_x_sessn_id=ldq65hi8xk,,,
Japanese Line,7,Misc,Flower / Lotus / Willow / Etc. With Cover,9.9,10.89,19.99,9.1,45.52%,Yes,https://www.temu.com/toothpick-box-and-storage-box-transparent-dome-cover-elegant-and-modern-kitchen-table-decoration-durable-structure-suitable-for-family-dining-room-parties-multi-functional--hygiene-organizer--in-multiple-colors-fashionable-counter-g-601105795296982.html?_oak_mp_inf=ENbdmsu91ogBGhVqd2dmdGhweGM4cm1jdXpoNGdmdjYg5Pzl7LQz&top_gallery_url=https%3A%2F%2Fimg.kwcdn.com%2Fproduct%2Fopen%2F7454f211a6a74f56b40cef4163824ab3-goods.jpeg&spec_gallery_id=219468655390&refer_page_sn=20130&refer_source=0&freesia_scene=700&_oak_freesia_scene=700&_oak_rec_ext_1=NTYx&_oak_gallery_order=1237137034%2C1464535879%2C1771191460%2C755138470%2C1423909058&refer_page_el_sn=233141&_x_sessn_id=u958l8l85p&refer_page_name=Local%20Warehouse&refer_page_id=20130_1766533221450_wue95kwkg6,,,
Lover Line,9,Mug,Hear Mug and Plate,10,11,34.99,23.99,68.56%,Yes,"https://www.aliexpress.us/item/3256808610118256.html?spm=a2g0o.detail.pcDetailTopMoreOtherSeller.4.4e17bKf4bKf4cK&gps-id=pcDetailTopMoreOtherSeller&scm=1007.40050.354490.0&scm_id=1007.40050.354490.0&scm-url=1007.40050.354490.0&pvid=fdea596c-38da-4259-94cf-0bbab0916e4b&_t=gps-id:pcDetailTopMoreOtherSeller,scm-url:1007.40050.354490.0,pvid:fdea596c-38da-4259-94cf-0bbab0916e4b,tpp_buckets:668%232846%238113%231998&pdp_ext_f=%7B%22order%22%3A%2254%22%2C%22eval%22%3A%221%22%2C%22sceneId%22%3A%2230050%22%2C%22fromPage%22%3A%22recommend%22%7D&pdp_npi=6%40dis%21USD%2131.27%218.63%21%21%21218.85%2160.45%21%40210337c117664526686926903e54f7%2112000046698804008%21rec%21US%21%21ABX%211%210%21n_tag%3A-29910%3Bd%3A783f4a1%3Bm03_new_user%3A-29895%3BpisId%3A5000000187461913&utparam-url=scene%3ApcDetailTopMoreOtherSeller%7Cquery_from%3A%7Cx_object_id%3A1005008796433008%7C_p_origin_prod%3A",,,
No Line,10,Bowl,Polka Dot Bowl,12.1,13.31,24.99,11.68,46.74%,Yes,https://www.temu.com/large-white-black-polka-dot-ceramic-bowl-large-round--dish-stoneware-glaze-dishwasher-microwave-heat-resistant-fridge-vintage-tableware-for-weddings-housewarming-desserts-salads-cereal-15-g-601103680016030.html?_oak_mp_inf=EJ6dyNq11ogBGhVqd2dmdGhweGM4cm1jdXpoNGdmdjYg4%2BPv7LQz&top_gallery_url=https%3A%2F%2Fimg.kwcdn.com%2Fproduct%2Fopen%2F538acec92fb3435ea69b6a6b694f5772-goods.jpeg&spec_gallery_id=211432063591&refer_page_sn=20130&refer_source=0&freesia_scene=700&_oak_freesia_scene=700&_oak_rec_ext_1=OTEy&_oak_gallery_order=1944599203%2C359050324%2C313375968%2C755590940%2C2143017441&refer_page_el_sn=233141&_x_sessn_id=u958l8l85p&refer_page_name=Local%20Warehouse&refer_page_id=20130_1766533221450_wue95kwkg6,,,
Nature Line,11,Misc,Leaf Jewlery Holder With Bird,12,13.2,24.99,11.79,47.18%,Yes,https://www.temu.com/1pc-of-ceramic-bird-shaped-jewelry-tray-a-cute-bird-shaped-ceramic-dish-suitable-for-rings-earrings-necklaces-a-desktop-display-plate-and-a-jewelry-tray-for-party-decoration-jewelry-tray-for-selling-jewellery-trays-jewelry-tray-organizer-g-601104953694516.html?_oak_mp_inf=ELSy87m61ogBGhVqd2dmdGhweGM4cm1jdXpoNGdmdjYgkezy7LQz&top_gallery_url=https%3A%2F%2Fimg.kwcdn.com%2Fproduct%2Ffancy%2F7cc90142-ea72-4071-8cee-2218466c9146.jpg&spec_gallery_id=216316718063&refer_page_sn=20130&refer_source=0&freesia_scene=700&_oak_freesia_scene=700&_oak_rec_ext_1=ODU0&_oak_gallery_order=1201624306%2C1533857328%2C1376962835%2C681806418%2C455356626&refer_page_el_sn=233141&_x_sessn_id=u958l8l85p&refer_page_name=Local%20Warehouse&refer_page_id=20130_1766533221450_wue95kwkg6,,,
Nature Line,12,Bowl,Flower Bowl,8,8.8,24.99,16.19,64.79%,Yes,https://www.aliexpress.us/item/3256808328578059.html?spm=a2g0o.productlist.main.7.388263aawE1BLG&algo_pvid=ee2dad07-ca6c-43cd-9eed-45c8e573018b&algo_exp_id=ee2dad07-ca6c-43cd-9eed-45c8e573018b-6&pdp_ext_f=%7B%22order%22%3A%22-1%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%2114.48%217.24%21%21%21101.26%2150.63%21%40210328c017665329010726844ea384%2112000045514286095%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A783f4a1%3Bm03_new_user%3A-29895&curPageLogUid=QzennKrtB6i4&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005008514892811%7C_p_origin_prod%3A,,,
Modern Line,13,Vase,Tripple Vase,14,15.4,65,49.6,76.31%,Yes,https://www.temu.com/set-of-3-ceramic-vases-contemporary-design-for-dried-flowers-round-shape-ideal-for-pampas-grass-bohemian-home-decoration-for-centerpiece--dinner-parties-living-rooms-offices-and-bedrooms-perfect-as-housewarming-birthday-g-601101412064786.html?_oak_mp_inf=EJK8j6Gt1ogBGhVqd2dmdGhweGM4cm1jdXpoNGdmdjYg%2FZHc7LQz&top_gallery_url=https%3A%2F%2Fimg.kwcdn.com%2Fproduct%2Ffancy%2F6f40c489-eb53-45f9-9a91-05f28643366a.jpg&spec_gallery_id=202683476764&refer_page_sn=20130&refer_source=0&freesia_scene=700&_oak_freesia_scene=700&_oak_rec_ext_1=MTMxNQ&_oak_gallery_order=68097591%2C28595015%2C1210422155%2C1922619754%2C567759621&refer_page_el_sn=233141&_x_sessn_id=u958l8l85p&refer_page_name=Local%20Warehouse&refer_page_id=20130_1766533221450_wue95kwkg6,,,
